Ano de eleição,Cargo,Coligação,Cor/raça,Detalhe da situação de candidatura,Estado civil,Faixa etária,Federação,Gênero,Grau de instrução,Município,Nacionalidade,Nome social,Ocupação,Reeleição,Região,Sigla partido,Situação de candidatura,Situação de totalização,Tipo eleição,Turno,UF,Quantidade de candidatos,Quantidade de candidatos eleitos,Quantidade de candidatos para o 2º turno,Quantidade de candidatos não eleitos,Quantidade de candidatos suplentes,Quantidade de candidatos não informados,Data de carga
2008,Prefeito, O POVO FELIZ NOVAMENTE,#NE,Indeferido,Divorciado(a),55 a 59 anos,,Masculino,Superior completo,BOM JARDIM,Brasileira nata,N,Médico,N,SUDESTE,PTB,Inapto,Indeferido com Recurso,Eleição Ordinária,1,RJ,1.0,0.0,0.0,0.0,0.0,1.0,2021-08-24 12:11:44
2008,Prefeito,""" A VERDADEIRA MUDANÇA""",#NE,Deferido,Solteiro(a),50 a 54 anos,,Feminino,Ensino Médio completo,TEOLÂNDIA,Brasileira nata,N,Vereador,N,NORDESTE,PRB,Apto,Não eleito,Eleição Ordinária,1,BA,1.0,0.0,0.0,1.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" A VITORIA É DO POVO""",#NE,Deferido,Casado(a),45 a 49 anos,,Masculino,Superior completo,TUNTUM,Brasileira nata,N,Veterinário,N,NORDESTE,PSDB,Apto,Eleito,Eleição Ordinária,1,MA,1.0,1.0,0.0,0.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" CONSTRUINDO UMA TAQUARANA MELHOR""",#NE,Deferido,Casado(a),50 a 54 anos,,Masculino,Superior completo,TAQUARANA,Brasileira nata,N,Veterinário,S,NORDESTE,PMDB,Apto,Eleito,Eleição Ordinária,1,AL,1.0,1.0,0.0,0.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" FRENTE ALTERNATIVA """,#NE,Deferido,Solteiro(a),35 a 39 anos,,Masculino,Superior incompleto,PALMEIRANTE,Brasileira nata,N,Técnico em Agronomia e Agrimensura,N,NORTE,PSB,Apto,Não eleito,Eleição Ordinária,1,TO,1.0,0.0,0.0,1.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" IBICARAÍ DE TODOS NÓS """,#NE,Deferido,Casado(a),40 a 44 anos,,Masculino,Superior completo,IBICARAÍ,Brasileira nata,N,Contador,N,NORDESTE,PT,Apto,Eleito,Eleição Ordinária,1,BA,1.0,1.0,0.0,0.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" POR AMOR A FLEXEIRAS""",#NE,Deferido,Casado(a),45 a 49 anos,,Feminino,Superior completo,FLEXEIRAS,Brasileira nata,N,Psicólogo,N,NORDESTE,PP,Apto,Eleito,Eleição Ordinária,1,AL,1.0,1.0,0.0,0.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" SANTO ESTEVÃO VAI CONTINUAR FORTE""",#NE,Deferido,Casado(a),45 a 49 anos,,Masculino,Superior completo,SANTO ESTEVÃO,Brasileira nata,N,Servidor Público Estadual,N,NORDESTE,DEM,Apto,Eleito,Eleição Ordinária,1,BA,1.0,1.0,0.0,0.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" UNIDOS POR SAPÉ """,#NE,Deferido,Casado(a),55 a 59 anos,,Masculino,Superior completo,SAPÉ,Brasileira nata,N,Engenheiro,N,NORDESTE,PP,Apto,Não eleito,Eleição Ordinária,1,PB,1.0,0.0,0.0,1.0,0.0,0.0,2021-08-24 12:11:44
2008,Prefeito,""" UNIDOS VAMOS RECOSTRUIR JACUÍPE""",#NE,Deferido,Solteiro(a),70 a 74 anos,,Masculino,Ensino Médio incompleto,JACUÍPE,Brasileira nata,N,Agricultor,N,NORDESTE,PMDB,Apto,Não eleito,Eleição Ordinária,1,AL,1.0,0.0,0.0,1.0,0.0,0.0,2021-08-24 12:11:44
