Ano de eleição,Cargo,Coligação,Cor/raça,Detalhe da situação de candidatura,Estado civil,Faixa etária,Federação,Gênero,Grau de instrução,Município,Nacionalidade,Nome social,Ocupação,Reeleição,Região,Sigla partido,Situação de candidatura,Situação de totalização,Tipo eleição,Turno,UF,Quantidade de candidatos,Quantidade de candidatos eleitos,Quantidade de candidatos para o 2º turno,Quantidade de candidatos não eleitos,Quantidade de candidatos suplentes,Quantidade de candidatos não informados,Data de carga
1996,PREFEITO,UNIAO DEMOCRATICA PARA MUDANCA,#NE,#NE,#NE,50 a 54 anos,,#NE,#NE,SANTA FILOMENA,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO DO POVO,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,SAO MIGUEL DA BAIXA GRANDE,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO DO PROGRESSO,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,NOVO ACORDO,#NE,N,#NE,#NE,NORTE,PPB,#NE,ELEITO,Eleição Ordinária,1,TO,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO DO TOCANTINS,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,SANTA TEREZA DO TOCANTINS,#NE,N,#NE,#NE,NORTE,PPB,#NE,NAO ELEITO,Eleição Ordinária,1,TO,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO DO TOCANTINS,#NE,#NE,#NE,55 a 59 anos,,#NE,#NE,PALMAS,#NE,N,#NE,#NE,NORTE,PPB,#NE,ELEITO,Eleição Ordinária,1,TO,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO E TRABALHO,#NE,#NE,#NE,45 a 49 anos,,#NE,#NE,ARRAIAL,#NE,N,#NE,#NE,NORDESTE,PL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO GENTE DA TERRA,#NE,#NE,#NE,65 a 69 anos,,#NE,#NE,CAPITAO DE CAMPOS,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO INDEPENDENTE,#NE,#NE,#NE,55 a 59 anos,,#NE,#NE,SAO LUIS,#NE,N,#NE,#NE,NORDESTE,PC DO B,#NE,NAO ELEITO,Eleição Ordinária,1,MA,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO LIBERAL,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,SAO GONCALO DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO NOTA DEZ,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,SENADOR CANEDO,#NE,N,#NE,#NE,CENTRO-OESTE,PSDB,#NE,ELEITO,Eleição Ordinária,1,GO,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
